Session_Name_	Trial_Recycled_	Trial_Index_	REP	probe_delay	entrainment_type	DURATION	STARTING_ANGLE	MOUSE_ANGLE	MOUSE_X	MOUSE_Y	MOUSE_AMPLITUDE
claudia	False	16	1	7	7	129	335	  -22.07	-88	217	  234.16
claudia	False	17	1	6	7	373	198	 -169.87	-42	-235	  238.72
claudia	False	18	1	14	0	216	131	  135.35	164	-166	  233.35
claudia	True	19	1	10	7	276	54	0	0	0	0
claudia	False	20	1	11	5	260	244	 -126.97	-186	-140	  232.80
claudia	False	21	1	16	7	159	54	   35.03	136	194	  236.92
claudia	False	22	1	17	0	232	310	  -45.68	-170	166	  237.60
claudia	False	23	1	8	5	212	2	    1.47	6	234	  234.08
claudia	False	24	1	13	7	228	121	  120.43	206	-121	  238.91
claudia	False	25	1	9	7	312	130	  121.34	202	-123	  236.50
claudia	False	26	1	7	5	161	262	 -108.43	-222	-74	  234.01
claudia	False	27	1	7	0	171	42	   33.49	129	195	  233.81
claudia	False	28	1	10	5	362	1	   -0.49	-2	235	  235.01
claudia	False	29	1	15	5	215	69	   84.67	236	22	  237.02
claudia	False	30	1	16	5	256	76	   78.31	232	48	  236.91
claudia	False	31	1	10	7	213	293	  -77.39	-228	51	  233.63
claudia	False	32	1	17	7	281	335	  -26.35	-106	214	  238.81
claudia	False	33	1	13	5	269	167	  143.62	140	-190	  236.01
claudia	False	34	1	10	0	205	163	  163.75	65	-223	  232.28
claudia	False	35	1	9	5	308	159	  159.13	85	-223	  238.65
claudia	False	36	1	9	0	265	345	  -11.36	-47	234	  238.67
claudia	False	37	1	17	5	327	206	 -154.84	-101	-215	  237.54
claudia	False	38	1	11	0	356	77	   99.31	238	-39	  241.17
claudia	False	39	1	14	7	292	15	    1.18	5	242	  242.05
claudia	False	40	1	8	0	293	16	   14.51	59	228	  235.51
claudia	False	41	1	12	7	311	225	 -138.43	-157	-177	  236.60
claudia	False	42	1	14	5	206	203	 -146.72	-128	-195	  233.26
claudia	False	43	1	12	5	142	61	   48.57	179	158	  238.76
claudia	False	44	1	13	0	291	97	  122.65	206	-132	  244.66
claudia	False	45	1	16	0	310	88	  113.59	213	-93	  232.42
claudia	False	46	1	15	0	304	24	   35.19	134	190	  232.50
claudia	False	47	1	15	7	171	289	  -70.87	-222	77	  234.97
claudia	False	48	1	11	7	325	261	  -99.42	-235	-39	  238.21
claudia	False	49	1	8	7	255	21	   23.71	94	214	  233.73
claudia	False	50	1	6	5	181	244	 -116.67	-211	-106	  236.13
claudia	False	51	1	6	0	222	48	   59.08	202	121	  235.47
claudia	False	52	1	12	0	132	60	   65.62	214	97	  234.96
claudia	False	53	2	17	0	333	287	  -75.44	-231	60	  238.67
claudia	False	54	2	12	7	351	287	  -72.49	-225	71	  235.94
claudia	False	55	2	15	5	270	260	 -104.22	-225	-57	  232.11
claudia	False	56	2	10	5	282	318	  -35.85	-138	191	  235.64
claudia	False	57	2	6	5	137	21	   36.33	139	189	  234.61
claudia	False	58	2	14	5	205	289	  -76.14	-227	56	  233.81
claudia	False	59	2	14	7	337	223	 -132.08	-175	-158	  235.77
claudia	False	60	2	13	0	230	250	 -111.71	-221	-88	  237.88
claudia	False	61	2	10	7	225	326	  -32.21	-126	200	  236.38
claudia	False	62	2	15	7	347	76	   81.70	240	35	  242.54
claudia	False	63	2	11	7	359	68	   72.10	226	73	  237.50
claudia	False	64	2	11	5	312	31	   39.04	150	185	  238.17
claudia	True	65	2	16	7	164	120	0	0	0	0
claudia	True	66	2	17	7	228	118	0	0	0	0
claudia	False	67	2	6	0	364	224	 -129.71	-183	-152	  237.89
claudia	False	68	2	13	5	350	333	  -21.58	-87	220	  236.58
claudia	False	69	2	7	0	311	330	  -22.62	-90	216	  234.00
claudia	False	70	2	17	7	352	266	 -106.58	-225	-67	  234.76
claudia	False	71	2	9	5	125	144	  136.90	160	-171	  234.18
claudia	False	72	2	13	7	281	16	   11.65	47	228	  232.79
claudia	False	73	2	8	7	244	137	  137.25	159	-172	  234.23
claudia	False	74	2	8	0	147	153	  156.29	94	-214	  233.73
claudia	False	75	2	16	5	159	158	  155.36	100	-218	  239.84
claudia	False	76	2	6	7	296	185	 -161.64	-75	-226	  238.12
claudia	False	77	2	7	5	316	7	   16.43	69	234	  243.96
claudia	True	78	2	14	0	277	82	0	0	0	0
claudia	False	79	2	7	7	206	102	  114.66	220	-101	  242.08
claudia	False	80	2	9	0	129	201	 -156.61	-93	-215	  234.25
claudia	False	81	2	17	5	269	343	  -19.18	-80	230	  243.52
claudia	False	82	2	8	5	231	183	 -175.79	-17	-231	  231.62
claudia	False	83	2	11	0	230	25	   31.38	122	200	  234.27
claudia	False	84	2	14	0	232	350	   -9.62	-40	236	  239.37
claudia	False	85	2	16	7	144	135	  141.56	150	-189	  241.29
claudia	False	86	2	16	0	258	56	   70.94	220	76	  232.76
claudia	False	87	2	12	5	369	223	 -136.87	-163	-174	  238.42
claudia	False	88	2	10	0	181	309	  -48.84	-175	153	  232.45
claudia	False	89	2	9	7	343	4	    2.89	12	238	  238.30
claudia	False	90	2	12	0	301	40	   69.56	220	82	  234.79
claudia	False	91	2	15	0	255	330	  -26.04	-107	219	  243.74
claudia	True	92	3	8	5	294	37	0	0	0	0
claudia	True	93	3	12	7	202	292	0	0	0	0
claudia	False	94	3	8	5	332	98	  114.11	219	-98	  239.93
claudia	False	95	3	7	5	153	234	 -130.94	-181	-157	  239.60
claudia	False	96	3	12	0	295	209	 -141.30	-149	-186	  238.32
claudia	False	97	3	10	5	311	339	  -17.68	-73	229	  240.35
claudia	False	98	3	16	5	200	302	  -46.36	-172	164	  237.66
claudia	False	99	3	6	7	145	32	   39.89	158	189	  246.34
claudia	False	100	3	8	7	348	191	 -160.90	-80	-231	  244.46
claudia	False	101	3	17	7	364	317	  -40.91	-156	180	  238.19
claudia	False	102	3	17	5	298	100	  119.95	210	-121	  242.37
claudia	False	103	3	7	0	170	133	  140.76	147	-180	  232.40
claudia	True	104	3	10	0	209	78	0	0	0	0
claudia	False	105	3	6	0	375	96	  121.50	204	-125	  239.25
claudia	False	106	3	15	7	306	176	 -177.83	-9	-237	  237.17
claudia	True	107	3	7	7	291	117	0	0	0	0
claudia	False	108	3	15	5	129	39	   25.58	101	211	  233.93
claudia	False	109	3	14	0	188	256	 -107.90	-226	-73	  237.50
claudia	False	110	3	14	5	151	324	  -37.16	-141	186	  233.40
claudia	True	111	3	11	7	151	337	0	0	0	0
claudia	False	112	3	13	7	332	347	  -11.50	-48	236	  240.83
claudia	False	113	3	10	0	197	316	  -35.23	-137	194	  237.50
claudia	False	114	3	13	5	154	43	   40.65	158	184	  242.53
claudia	False	115	3	8	0	180	216	 -140.57	-148	-180	  233.03
claudia	False	116	3	10	7	353	334	  -16.79	-67	222	  231.89
claudia	False	117	3	17	0	233	342	  -16.70	-69	230	  240.13
claudia	False	118	3	11	0	171	174	  177.84	9	-239	  239.17
claudia	False	119	3	12	5	152	116	  125.87	195	-141	  240.64
claudia	False	120	3	15	0	207	176	  179.02	4	-233	  233.03
claudia	False	121	3	13	0	328	112	  117.97	209	-111	  236.65
claudia	False	122	3	9	7	339	342	  -20.50	-80	214	  228.46
claudia	False	123	3	9	5	157	44	   53.94	195	142	  241.22
claudia	False	124	3	16	7	237	291	  -65.94	-215	96	  235.46
claudia	False	125	3	12	7	332	268	  -91.66	-241	-7	  241.10
claudia	False	126	3	11	5	346	215	 -135.84	-168	-173	  241.15
claudia	False	127	3	6	5	159	107	  114.14	212	-95	  232.31
claudia	False	128	3	9	0	375	185	 -158.46	-88	-223	  239.74
claudia	False	129	3	7	7	127	27	   23.46	92	212	  231.10
claudia	False	130	3	11	7	270	199	 -155.09	-98	-211	  232.65
claudia	False	131	3	16	0	237	40	   48.59	178	157	  237.35
claudia	False	132	3	14	7	245	74	   72.84	230	71	  240.71
claudia	False	133	4	15	7	372	10	   27.76	110	209	  236.18
claudia	False	134	4	9	7	136	247	 -121.22	-198	-120	  231.53
claudia	False	135	4	10	5	228	53	   61.84	213	114	  241.59
claudia	True	136	4	13	7	228	85	0	0	0	0
claudia	False	137	4	6	5	248	258	 -109.86	-227	-82	  241.36
claudia	False	138	4	12	5	268	78	   80.11	241	42	  244.63
claudia	False	139	4	7	5	172	318	  -40.42	-155	182	  239.06
claudia	False	140	4	9	5	186	302	  -52.56	-192	147	  241.81
claudia	False	141	4	12	0	166	198	 -153.54	-107	-215	  240.15
claudia	False	142	4	15	0	272	306	  -46.91	-170	159	  232.77
claudia	False	143	4	11	0	345	60	   76.02	229	57	  235.99
claudia	False	144	4	17	7	149	317	  -39.68	-151	182	  236.48
claudia	False	145	4	13	5	141	145	  155.54	101	-222	  243.90
claudia	False	146	4	17	5	230	190	 -164.02	-65	-227	  236.12
claudia	False	147	4	7	7	238	124	  135.52	164	-167	  234.06
claudia	False	148	4	8	5	358	151	  159.67	83	-224	  238.88
claudia	False	149	4	10	0	352	159	  164.18	66	-233	  242.17
claudia	False	150	4	8	7	314	247	 -116.57	-204	-102	  228.08
